condition_id,counterspeaker,offense_type,counterspeech_type,specific_message,url
1,Human,Rude,Moral_Norm,0,http://localhost:3000/staticvideo?speaker=1&offense=rude&mo=0
2,Human,Rude,Moral_Norm,1,http://localhost:3000/staticvideo?speaker=1&offense=rude&mo=1
3,Human,Rude,Empathy,0,http://localhost:3000/staticvideo?speaker=1&offense=rude&em=0
4,Human,Rude,Empathy,1,http://localhost:3000/staticvideo?speaker=1&offense=rude&em=1
5,Human,Rude,Empathy_Subjective,0,http://localhost:3000/staticvideo?speaker=1&offense=rude&em_sub=0
6,Human,Rude,Empathy_Subjective,1,http://localhost:3000/staticvideo?speaker=1&offense=rude&em_sub=1
7,Human,Hate,Moral_Norm,0,http://localhost:3000/staticvideo?speaker=1&offense=hate&mo=0
8,Human,Hate,Moral_Norm,1,http://localhost:3000/staticvideo?speaker=1&offense=hate&mo=1
9,Human,Hate,Empathy,0,http://localhost:3000/staticvideo?speaker=1&offense=hate&em=0
10,Human,Hate,Empathy,1,http://localhost:3000/staticvideo?speaker=1&offense=hate&em=1
11,Human,Hate,Empathy_Subjective,0,http://localhost:3000/staticvideo?speaker=1&offense=hate&em_sub=0
12,Human,Hate,Empathy_Subjective,1,http://localhost:3000/staticvideo?speaker=1&offense=hate&em_sub=1
13,AI,Rude,Moral_Norm,0,http://localhost:3000/staticvideo?speaker=2&offense=rude&mo=0
14,AI,Rude,Moral_Norm,1,http://localhost:3000/staticvideo?speaker=2&offense=rude&mo=1
15,AI,Rude,Empathy,0,http://localhost:3000/staticvideo?speaker=2&offense=rude&em=0
16,AI,Rude,Empathy,1,http://localhost:3000/staticvideo?speaker=2&offense=rude&em=1
17,AI,Rude,Empathy_Subjective,0,http://localhost:3000/staticvideo?speaker=2&offense=rude&em_sub=0
18,AI,Rude,Empathy_Subjective,1,http://localhost:3000/staticvideo?speaker=2&offense=rude&em_sub=1
19,AI,Hate,Moral_Norm,0,http://localhost:3000/staticvideo?speaker=2&offense=hate&mo=0
20,AI,Hate,Moral_Norm,1,http://localhost:3000/staticvideo?speaker=2&offense=hate&mo=1
21,AI,Hate,Empathy,0,http://localhost:3000/staticvideo?speaker=2&offense=hate&em=0
22,AI,Hate,Empathy,1,http://localhost:3000/staticvideo?speaker=2&offense=hate&em=1
23,AI,Hate,Empathy_Subjective,0,http://localhost:3000/staticvideo?speaker=2&offense=hate&em_sub=0
24,AI,Hate,Empathy_Subjective,1,http://localhost:3000/staticvideo?speaker=2&offense=hate&em_sub=1
